class,subclass,tier2count
Event,SocietalEvent,96973
Event,Competition,9875
Event,NaturalEvent,1331
Event,Event,136962
Organisation,Company,90094
Organisation,SportsLeague,5740
Organisation,SportsTeam,11425
Organisation,Group,114066
Organisation,Broadcaster,33212
Organisation,EducationalInstitution,75389
Organisation,GovernmentAgency,6737
Organisation,Legislature,2510
Organisation,MilitaryUnit,22639
Organisation,Parliament,161
Organisation,PoliticalParty,15004
Organisation,SportsClub,27403
Organisation,TradeUnion,2020
Person,Artist,171253
Person,Athlete,518513
Person,Politician,200906
Person,Coach,16186
Person,Cleric,27448
Person,Archeologist,93
Person,Architect,8849
Person,Aristocrat,720
Person,Astronaut,662
Person,Royalty,17999
Person,BeautyQueen,2666
Person,Scientist,56406
Person,BusinessPerson,3888
Person,Chef,1306
Person,Criminal,4217
Person,Economist,4222
Person,Egyptologist,203
Person,Engineer,7176
Person,Farmer,2296
Person,Writer,75754
Person,HorseTrainer,272
Person,Journalist,14180
Person,Judge,4800
Person,Lawyer,12919
Person,Linguist,1256
Person,MilitaryPerson,34139
Person,Model,6287
Person,Monarch,915
Person,Noble,6825
Person,OfficeHolder,9
Person,OrganisationMember,382701
Person,Philosopher,5034
Person,PlayboyPlaymate,252
Person,Presenter,2588
Person,Producer,7257
Person,Psychologist,1572
Person,Referee,1276
Person,Religious,2532
Person,SportsManager,24255
Person,Person,1829600
Place,PopulatedPlace,679807
Place,ArchitecturalStructure,319128
Place,NaturalPlace,91370
Place,CelestialBody,13875
Place,Cemetery,1477
Place,ConcentrationCamp,146
Place,Garden,1273
Place,HistoricPlace,34912
Place,Mine,1581
Place,Park,13645
Place,ProtectedArea,11738
Place,SiteOfSpecialScientificInterest,2225
Place,WineRegion,565
Place,WorldHeritageSite,1005
Place,Place,1157860
Work,WrittenWork,106770
Work,MusicalWork,247356
Work,Cartoon,5885
Work,CollectionOfValuables,233
Work,Artwork,9697
Work,Database,979
Work,Document,14487
Work,Film,145040
Work,RadioProgram,1554
Work,Software,36674
Work,TelevisionEpisode,9847
Work,TelevisionSeason,6294
Work,TelevisionShow,48433
Work,Website,6394
Work,Work,633390
